,precision,rounding_rank,oversampling
239,2.42690635717778e-10,65,1
240,1.721694705958551e-10,65,2
241,8.736488472031854e-11,65,3
242,1.0615008777890368e-10,65,5
243,8.90810725365591e-11,65,7
244,8.819597110123058e-11,65,10
245,2.817669511895951e-10,70,0
246,7.33652736532161e-11,70,1
247,9.557566171381449e-11,70,2
248,6.475972951178348e-11,70,3
249,9.619727832265703e-11,70,5
250,7.478691161696003e-11,70,7
251,9.720279334359052e-11,70,10
252,1.7824731883869126e-10,70,0
253,2.0477437831982917e-10,70,1
254,9.671761240268051e-11,70,2
255,1.1097408696713052e-10,70,3
256,6.214175477970393e-11,70,5
257,4.297383460848809e-11,70,7
258,3.2527377605107654e-11,70,10
259,2.1995594372494344e-10,70,0
260,9.910304922657616e-11,70,1
261,3.3385392735397006e-10,70,2
262,6.502443207118168e-11,70,3
263,8.249054077631034e-11,70,5
264,2.663778866018268e-11,70,7
265,7.12281110299133e-11,70,10
266,2.426215290225577e-10,70,0
267,1.3566106765077305e-10,70,1
268,6.927472425850009e-10,70,2
269,9.004164821763969e-11,70,3
270,1.4607806582730018e-10,70,5
271,4.576516180380278e-11,70,7
272,4.9539134739367935e-11,70,10
273,1.5945459134804914e-10,70,0
274,1.2950474943466608e-10,70,1
275,3.1638800819343083e-10,70,2
276,1.0723358350947969e-10,70,3
277,6.73924043031003e-11,70,5
278,6.29630241115812e-11,70,7
279,4.676215195805124e-11,70,10
280,1.704202471576592e-10,75,0
281,8.371159725586587e-11,75,1
282,1.7333295943609478e-10,75,2
283,2.948145966686832e-11,75,3
284,7.637313636770546e-11,75,5
285,3.529673001927078e-11,75,7
286,3.368227297855782e-11,75,10
287,1.0009658096099514e-10,75,0
288,8.318347734477715e-11,75,1
289,6.656012475812134e-11,75,2
290,4.5934818455762086e-11,75,3
291,8.699090157418631e-11,75,5
292,5.0416757886871756e-11,75,7
293,3.080214047805695e-11,75,10
294,5.254866347803382e-11,75,0
295,6.435074977762249e-11,75,1
296,1.2592710784584149e-10,75,2
297,9.201800585792897e-11,75,3
298,3.521038907064176e-11,75,5
299,7.288893733428258e-11,75,7
300,4.049553146220011e-11,75,10
301,8.316132387290053e-11,75,0
302,1.1636320876277631e-10,75,1
303,2.29747607184233e-11,75,2
304,4.3674901640658695e-11,75,3
305,1.1799108007879477e-10,75,5
306,2.8480233578974294e-11,75,7
307,2.5226295459855116e-11,75,10
308,1.5030347955589684e-10,75,0
