,precision,rounding_rank,kappa
141,2.119341851426303e-09,55,1.5
142,1.5383750550300819e-09,55,2.0
143,1.6472676572220266e-09,55,2.5
144,5.639085402670166e-10,55,3.0
145,3.0306740691138034e-10,55,3.5
146,8.605399277919059e-10,55,4.0
147,2.1794487107827995e-08,55,1.0
148,4.451850580940034e-09,55,1.5
149,1.4511825515102624e-09,55,2.0
150,2.606631893679139e-09,55,2.5
151,8.140687083110547e-10,55,3.0
152,4.231521491596551e-10,55,3.5
153,5.527725079380156e-10,55,4.0
154,2.729773480090849e-08,55,1.0
155,3.8461508766604524e-09,55,1.5
156,3.5040174429756402e-09,55,2.0
157,2.2918434094325896e-09,55,2.5
158,1.5349076121256018e-09,55,3.0
159,1.2809670270428843e-09,55,3.5
160,6.755324341885235e-10,55,4.0
161,1.3892347104126109e-08,55,1.0
162,2.4277679940554214e-09,55,1.5
163,9.70596971272105e-10,55,2.0
164,1.5769189781315104e-09,55,2.5
165,1.1890675029275973e-09,55,3.0
166,1.6719045196745822e-09,55,3.5
167,3.4872161914676315e-09,55,4.0
168,1.4315511165134098e-08,55,1.0
169,4.612983739508333e-09,55,1.5
170,5.794946651853035e-09,55,2.0
171,2.0196816407103877e-09,55,2.5
172,1.277552312004776e-09,55,3.0
173,2.3632553130094423e-09,55,3.5
174,1.1581433361989972e-09,55,4.0
175,5.515210108003192e-09,60,1.0
176,1.7340536276132256e-09,60,1.5
177,8.012669077678927e-10,60,2.0
178,1.1596866337533147e-09,60,2.5
179,4.846484204160459e-10,60,3.0
180,3.7224807794962265e-10,60,3.5
181,3.132637304955494e-10,60,4.0
182,7.204665045146222e-09,60,1.0
183,1.9916137172272194e-09,60,1.5
184,1.1365835506817616e-09,60,2.0
185,1.2970169163041073e-09,60,2.5
186,5.858596653108718e-10,60,3.0
187,3.866530837593646e-10,60,3.5
188,3.009419187044479e-10,60,4.0
189,3.546017267283099e-09,60,1.0
190,3.6048693289513595e-09,60,1.5
191,1.1240529164480077e-09,60,2.0
192,4.330035752439447e-10,60,2.5
193,6.087522423254439e-10,60,3.0
194,3.2932345204240775e-10,60,3.5
195,2.1970025091747206e-10,60,4.0
196,4.934001966083039e-09,60,1.0
197,1.3146798434842867e-09,60,1.5
198,2.531463539467377e-09,60,2.0
199,6.735373958719792e-10,60,2.5
200,4.671040881451905e-10,60,3.0
201,5.195169725774132e-10,60,3.5
202,2.880049833827497e-10,60,4.0
203,1.1809459279892177e-08,60,1.0
204,2.7200129764112947e-09,60,1.5
205,5.063761510038861e-09,60,2.0
206,3.7794505794630926e-10,60,2.5
207,6.743392722493789e-10,60,3.0
208,8.852329009251651e-10,60,3.5
209,1.2866524295819502e-10,60,4.0
210,4.817150338071787e-09,65,1.0
211,1.1448964477577424e-09,65,1.5
212,6.16831406187167e-10,65,2.0
213,3.236569084953382e-10,65,2.5
214,3.8955920083628994e-10,65,3.0
215,3.030413931800847e-10,65,3.5
216,6.515938822899679e-11,65,4.0
217,4.6836947904919214e-09,65,1.0
218,5.401792743959821e-10,65,1.5
219,8.215534427398375e-10,65,2.0
220,2.478800525458052e-10,65,2.5
221,3.215906551612896e-10,65,3.0
222,4.599669136612692e-10,65,3.5
223,1.5645327953618977e-10,65,4.0
224,3.617411966633755e-09,65,1.0
225,2.0558432778825743e-09,65,1.5
226,4.63633064809534e-10,65,2.0
227,2.609369522411813e-10,65,2.5
228,6.983357893270281e-10,65,3.0
229,1.456011957236246e-10,65,3.5
230,3.563336491610022e-10,65,4.0
231,2.3333940983871223e-09,65,1.0
232,2.0979179236111624e-09,65,1.5
233,7.608532780437349e-10,65,2.0
234,6.028895516376423e-10,65,2.5
235,1.4464710086477216e-10,65,3.0
236,3.0429825427637703e-10,65,3.5
237,2.7569636927875413e-10,65,4.0
238,3.231092349729601e-09,65,1.0
239,2.3322984870181735e-09,65,1.5
240,4.95679355955844e-10,65,2.0
241,1.9958895628083554e-10,65,2.5
242,8.994106687086864e-11,65,3.0
243,2.8517876209023557e-10,65,3.5
244,2.6342676427923437e-10,65,4.0
245,8.170779374798595e-10,70,1.0
246,3.9752357902321707e-10,70,1.5
247,1.787250236305042e-10,70,2.0
248,2.023777205913852e-10,70,2.5
249,2.817836135544506e-10,70,3.0
