,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
44,25,30,30,10,2.154886484146118,1,1,10
45,25,30,30,10,1.3644795417785645,2,1,10
46,25,30,30,10,2.2878165245056152,1,1,11
47,25,30,30,10,1.4832041263580322,2,1,11
48,25,30,30,10,2.2579071521759033,1,1,12
49,25,30,30,10,1.4264819622039795,2,1,12
50,25,30,30,10,2.278696298599243,1,1,13
51,25,30,30,10,1.4446210861206055,2,1,13
52,25,30,30,10,2.4166252613067627,1,1,14
53,25,30,30,10,1.5150291919708252,2,1,14
54,25,30,35,10,2.823971748352051,1,1,6
55,25,30,35,10,1.7240567207336426,2,1,6
56,25,30,35,10,2.897038221359253,1,1,7
57,25,30,35,10,1.839045524597168,2,1,7
58,25,30,35,10,2.7852728366851807,1,1,8
59,25,30,35,10,1.7914307117462158,2,1,8
60,25,30,35,10,2.665844440460205,1,1,9
61,25,30,35,10,1.7144875526428223,2,1,9
62,25,30,35,10,2.5560572147369385,1,1,10
63,25,30,35,10,1.5905020236968994,2,1,10
64,25,30,35,10,2.7777597904205322,1,1,11
65,25,30,35,10,1.7439296245574951,2,1,11
66,25,30,35,10,3.2961061000823975,1,1,12
67,25,30,35,10,2.1983232498168945,2,1,12
68,25,30,35,10,3.236968517303467,1,1,13
69,25,30,35,10,2.0284929275512695,2,1,13
70,25,30,35,10,3.3220419883728027,1,1,14
71,25,30,35,10,2.0447304248809814,2,1,14
72,25,30,40,10,3.5158615112304688,1,1,6
73,25,30,40,10,2.3225505352020264,2,1,6
74,25,30,40,10,3.3622186183929443,1,1,7
75,25,30,40,10,2.1488022804260254,2,1,7
76,25,30,40,10,3.5431017875671387,1,1,8
77,25,30,40,10,2.2413551807403564,2,1,8
78,25,30,40,10,3.4150078296661377,1,1,9
79,25,30,40,10,2.246317148208618,2,1,9
80,25,30,40,10,3.4498472213745117,1,1,10
81,25,30,40,10,2.120842456817627,2,1,10
82,25,30,40,10,3.2208869457244873,1,1,11
83,25,30,40,10,2.0217089653015137,2,1,11
84,25,30,40,10,3.143009662628174,1,1,12
85,25,30,40,10,1.9631774425506592,2,1,12
86,25,30,40,10,3.711637258529663,1,1,13
87,25,30,40,10,2.3764994144439697,2,1,13
88,25,30,40,10,3.375271797180176,1,1,14
89,25,30,40,10,2.195998191833496,2,1,14
90,25,30,45,10,3.9133224487304688,1,1,6
91,25,30,45,10,2.5428764820098877,2,1,6
