,precision,rounding_rank,oversampling
169,6.149956130180738e-14,65,1
170,8.689854006183783e-14,65,2
171,3.879677857297945e-14,65,3
172,5.98592578172438e-14,65,5
173,5.676621370693759e-14,65,7
174,7.078722019761377e-14,65,0
175,4.599346723827885e-14,65,1
176,5.186480311021028e-14,65,2
177,3.8718193398934276e-14,65,3
178,3.1514182973995024e-14,65,5
179,3.794179080814636e-14,65,7
180,5.294527548895529e-14,70,0
181,3.511149240643192e-14,70,1
182,5.078758368382813e-14,70,2
183,4.561605510568508e-14,70,3
184,3.418403381141809e-14,70,5
185,7.654490921969274e-14,70,7
186,5.1742586037034884e-14,70,0
187,3.1862963272124334e-14,70,1
188,2.8300193696682742e-14,70,2
189,3.766040951739109e-14,70,3
190,2.4754323105225967e-14,70,5
191,3.144241960523404e-14,70,7
192,3.584792004182089e-14,70,0
193,4.5495525832165784e-14,70,1
194,2.6105947289116407e-14,70,2
195,6.242131558783106e-14,70,3
196,6.393163843297032e-14,70,5
197,4.888308035697025e-14,70,7
198,3.989101288659887e-14,70,0
199,2.5764415864719533e-14,70,1
200,4.273970758547446e-14,70,2
201,2.2739287596026077e-14,70,3
202,4.911724859497471e-14,70,5
203,2.1542833874122794e-14,70,7
204,4.730430690677578e-14,70,0
205,2.8018741344995606e-14,70,1
206,4.688806456265183e-14,70,2
207,2.9061813651635484e-14,70,3
208,2.816975424644164e-14,70,5
209,2.6228878213334948e-14,70,7
210,2.5134551956273604e-14,75,0
211,3.452342992528659e-14,75,1
212,7.511416660588034e-14,75,2
213,4.7415095521880936e-14,75,3
214,6.023868840535165e-14,75,5
215,8.13463115502314e-14,75,7
216,2.6065839789333213e-14,75,0
217,4.2089876818454464e-14,75,1
218,1.891731835472627e-14,75,2
219,2.2364376041262105e-14,75,3
220,5.510819437978766e-14,75,5
221,4.8372751002499335e-14,75,7
222,5.70046781436001e-14,75,0
223,5.37537264487914e-14,75,1
224,2.5540975595975814e-14,75,2
225,3.9960669807969067e-14,75,3
226,2.155526331328486e-14,75,5
227,2.487159393566861e-14,75,7
228,4.3183707253371445e-14,75,0
229,3.58354322603099e-14,75,1
230,4.888493983917576e-14,75,2
231,2.7098838141303003e-14,75,3
232,3.5860590660673286e-14,75,5
233,2.815605382068138e-14,75,7
234,3.110833646317446e-14,75,0
235,2.6024711123837373e-14,75,1
236,5.4263427189740134e-14,75,2
237,2.5737438152506443e-14,75,3
238,3.4219003063500653e-14,75,5
239,2.5207819627132592e-14,75,7
240,2.998679421842257e-14,80,0
241,4.539435240335886e-14,80,1
242,6.231535899943773e-14,80,2
243,4.3720141814873987e-14,80,3
244,8.328337021524745e-14,80,5
245,4.550839345233316e-14,80,7
246,2.58371462501402e-14,80,0
247,5.5641232596626846e-14,80,1
248,1.7008374204799932e-14,80,2
249,5.1791740350143374e-14,80,3
250,3.843352367727158e-14,80,5
251,4.4977071693308776e-14,80,7
252,2.650682934830114e-14,80,0
253,4.321490549546791e-14,80,1
254,4.6842556435555355e-14,80,2
255,4.935920656568401e-14,80,3
256,5.802083544120527e-14,80,5
257,2.4712154158595357e-14,80,7
258,3.252050713781622e-14,80,0
259,3.263253014862328e-14,80,1
260,7.048799657292778e-14,80,2
261,2.3736912341492413e-14,80,3
262,1.7503930468329264e-14,80,5
263,5.995570944379026e-14,80,7
264,2.0105189361979205e-14,80,0
265,4.2708448745580535e-14,80,1
266,2.399696759809018e-14,80,2
267,6.349469175251278e-14,80,3
268,4.705379617935516e-14,80,5
269,2.3720089751762918e-14,80,7
